latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-6.9244285,107.60539,707.0,28800,Asia/Singapore,GMT+8

time,precipitation_sum (mm),temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_max (km/h),rain_sum (mm),soil_moisture_0_to_100cm_mean (m³/m³)
2022-07-15,5.70,27.3,19.4,9.7,5.70,0.301
2022-07-16,16.10,24.8,19.9,11.0,16.10,0.316
2022-07-17,0.00,26.5,17.7,8.7,0.00,0.320
2022-07-18,0.00,28.2,18.1,8.7,0.00,0.318
2022-07-19,1.00,28.9,18.1,9.6,1.00,0.315
2022-07-20,1.40,27.6,16.9,11.3,1.40,0.313
2022-07-21,0.00,28.0,18.5,11.5,0.00,0.311
2022-07-22,2.90,27.2,19.0,11.6,2.90,0.307
2022-07-23,7.90,28.0,17.3,8.1,7.90,0.305
2022-07-24,1.90,28.2,19.5,13.3,1.90,0.309
2022-07-25,0.30,27.0,17.6,12.9,0.30,0.306
2022-07-26,1.40,27.8,18.6,10.5,1.40,0.301
2022-07-27,0.40,28.0,16.9,9.8,0.40,0.298
2022-07-28,0.80,28.9,16.4,7.7,0.80,0.296
2022-07-29,0.80,29.1,16.4,8.2,0.80,0.291
2022-07-30,0.00,28.9,17.0,11.5,0.00,0.288
2022-07-31,0.00,29.2,17.9,7.3,0.00,0.285
2022-08-01,0.00,29.1,16.4,10.5,0.00,0.284
2022-08-02,0.70,29.0,18.0,7.7,0.70,0.283
2022-08-03,1.30,28.4,18.5,12.0,1.30,0.282
2022-08-04,1.30,27.8,19.2,10.4,1.30,0.279
2022-08-05,0.00,29.0,17.2,10.5,0.00,0.278
2022-08-06,0.00,29.1,15.1,8.4,0.00,0.277
2022-08-07,0.10,28.7,17.3,15.0,0.10,0.274
2022-08-08,0.00,28.8,17.5,14.7,0.00,0.275
2022-08-09,1.40,28.6,16.5,9.8,1.40,0.274
2022-08-10,0.50,29.4,18.9,10.5,0.50,0.273
2022-08-11,0.60,30.0,19.4,9.4,0.60,0.272
2022-08-12,12.50,29.1,19.5,8.4,12.50,0.278
2022-08-13,7.80,28.4,18.2,8.9,7.80,0.293
2022-08-14,3.00,28.6,17.2,10.6,3.00,0.290
2022-08-15,0.20,27.0,18.6,9.5,0.20,0.280
2022-08-16,1.80,27.9,17.6,7.9,1.80,0.276
2022-08-17,0.10,28.5,19.5,16.3,0.10,0.273
2022-08-18,0.00,28.4,17.6,18.1,0.00,0.272
2022-08-19,0.40,30.0,18.9,14.9,0.40,0.270
2022-08-20,0.10,28.7,20.1,14.4,0.10,0.268
2022-08-21,10.10,27.2,19.0,10.6,10.10,0.269
2022-08-22,1.30,27.8,18.8,12.1,1.30,0.281
2022-08-23,0.10,29.8,17.5,12.4,0.10,0.279
2022-08-24,0.50,29.2,18.8,11.2,0.50,0.276
2022-08-25,0.00,28.6,18.3,13.3,0.00,0.272
2022-08-26,5.10,28.6,17.1,12.2,5.10,0.269
2022-08-27,0.90,28.5,19.0,11.2,0.90,0.269
2022-08-28,0.40,28.0,18.6,10.6,0.40,0.272
2022-08-29,1.70,28.4,18.6,12.6,1.70,0.267
2022-08-30,0.80,29.2,18.0,10.4,0.80,0.263
2022-08-31,1.50,29.0,18.8,7.4,1.50,0.263
2022-09-01,3.50,28.7,19.4,9.3,3.50,0.264
2022-09-02,4.50,28.8,18.5,10.1,4.50,0.265
2022-09-03,0.40,29.4,17.4,7.0,0.40,0.264
2022-09-04,0.20,30.5,17.5,8.1,0.20,0.261
2022-09-05,0.60,29.8,19.0,7.0,0.60,0.261
2022-09-06,4.30,27.5,18.5,10.0,4.30,0.261
2022-09-07,7.20,28.5,17.5,7.2,7.20,0.264
2022-09-08,45.90,25.7,19.0,9.4,45.90,0.288
2022-09-09,9.20,27.0,18.8,8.4,9.20,0.304
2022-09-10,35.90,26.2,18.5,7.8,35.90,0.316
2022-09-11,8.30,28.1,19.0,8.9,8.30,0.324
2022-09-12,6.40,27.5,17.9,10.1,6.40,0.329
2022-09-13,11.10,26.8,17.4,7.3,11.10,0.331
2022-09-14,1.30,28.2,18.2,10.7,1.30,0.328
2022-09-15,1.40,28.7,17.5,13.5,1.40,0.323
2022-09-16,12.50,28.0,17.9,9.7,12.50,0.324
2022-09-17,1.90,28.3,19.1,12.3,1.90,0.327
2022-09-18,0.50,29.0,18.8,12.8,0.50,0.325
2022-09-19,2.70,27.6,17.5,10.9,2.70,0.322
2022-09-20,0.80,28.1,18.2,10.0,0.80,0.316
2022-09-21,1.00,28.4,19.0,6.8,1.00,0.313
2022-09-22,7.70,27.5,19.2,15.0,7.70,0.312
2022-09-23,16.60,28.4,19.8,10.8,16.60,0.310
2022-09-24,0.00,30.1,19.0,14.7,0.00,0.311
2022-09-25,0.30,29.0,18.4,14.8,0.30,0.305
2022-09-26,0.40,28.6,17.7,16.6,0.40,0.301
2022-09-27,1.90,29.9,19.0,12.4,1.90,0.298
2022-09-28,1.70,29.6,17.9,10.7,1.70,0.296
2022-09-29,3.50,29.2,19.1,8.0,3.50,0.294
2022-09-30,19.60,28.5,19.0,8.4,19.60,0.295
2022-10-01,26.30,28.6,18.8,10.2,26.30,0.302
2022-10-02,31.30,26.2,19.9,12.3,31.30,0.311
2022-10-03,25.40,27.5,18.9,13.4,25.40,0.321
2022-10-04,5.10,27.2,20.1,11.2,5.10,0.326
2022-10-05,3.80,27.0,18.0,8.2,3.80,0.327
2022-10-06,16.00,28.0,17.9,10.0,16.00,0.334
2022-10-07,17.10,25.6,19.6,9.0,17.10,0.343
2022-10-08,7.10,26.5,18.9,9.4,7.10,0.350
2022-10-09,8.00,27.7,18.5,8.7,8.00,0.350
2022-10-10,1.40,25.6,18.2,8.1,1.40,0.351
2022-10-11,4.10,25.3,18.2,13.1,4.10,0.351
2022-10-12,2.20,28.0,18.1,10.0,2.20,0.355
2022-10-13,1.70,26.5,18.1,14.1,1.70,0.354
2022-10-14,4.80,27.7,19.4,9.4,4.80,0.353
2022-10-15,14.40,25.2,20.5,9.8,14.40,0.361
2022-10-16,1.00,28.6,19.8,8.2,1.00,0.355
2022-10-17,1.60,28.4,19.5,9.8,1.60,0.357
2022-10-18,3.10,27.0,19.3,11.3,3.10,0.359
2022-10-19,14.00,25.9,20.5,10.5,14.00,0.348
2022-10-20,38.20,27.9,19.6,10.1,38.20,0.360
2022-10-21,25.60,26.1,19.1,11.4,25.60,0.375
2022-10-22,29.30,27.5,20.3,11.2,29.30,0.394
2022-10-23,20.80,27.2,20.0,9.0,20.80,0.405
2022-10-24,4.20,26.9,18.6,15.9,4.20,0.402
2022-10-25,12.70,27.0,19.6,14.5,12.70,0.398
2022-10-26,43.20,24.8,20.2,9.0,43.20,0.409
2022-10-27,0.60,27.7,18.0,17.3,0.60,0.408
2022-10-28,0.10,27.6,16.5,16.8,0.10,0.400
2022-10-29,0.90,27.8,17.2,13.2,0.90,0.390
2022-10-30,0.00,28.4,17.4,11.6,0.00,0.380
2022-10-31,0.60,27.5,19.5,9.4,0.60,0.373
2022-11-01,1.70,28.6,20.4,12.7,1.70,0.367
2022-11-02,0.30,29.0,18.2,10.9,0.30,0.365
2022-11-03,0.40,28.2,19.8,8.4,0.40,0.361
2022-11-04,26.10,28.5,18.8,9.8,26.10,0.364
2022-11-05,13.90,28.1,18.9,8.8,13.90,0.367
2022-11-06,10.70,27.0,18.6,9.4,10.70,0.375
2022-11-07,18.30,27.3,19.2,11.2,18.30,0.377
2022-11-08,40.70,27.4,20.0,10.0,40.70,0.387
2022-11-09,13.00,26.0,19.7,9.4,13.00,0.395
2022-11-10,1.50,27.1,18.4,15.9,1.50,0.397
2022-11-11,2.00,25.7,19.4,7.9,2.00,0.399
2022-11-12,4.70,26.5,19.5,11.3,4.70,0.402
2022-11-13,9.50,25.1,19.5,7.2,9.50,0.405
2022-11-14,20.90,27.9,19.2,9.7,20.90,0.414
2022-11-15,5.70,27.9,18.6,12.6,5.70,0.416
2022-11-16,8.30,27.2,20.6,12.3,8.30,0.412
2022-11-17,14.50,23.6,19.9,13.3,14.50,0.411
2022-11-18,19.80,27.3,18.9,14.1,19.80,0.415
2022-11-19,3.80,26.8,19.5,18.4,3.80,0.416
2022-11-20,0.10,28.4,19.4,18.3,0.10,0.408
2022-11-21,0.50,28.1,19.0,16.1,0.50,0.403
2022-11-22,0.80,26.1,17.3,13.0,0.80,0.395
2022-11-23,1.70,27.9,19.4,12.6,1.70,0.389
2022-11-24,10.30,27.5,20.0,10.5,10.30,0.389
2022-11-25,4.80,25.5,19.6,11.5,4.80,0.395
2022-11-26,0.80,24.4,19.5,6.4,0.80,0.392
2022-11-27,9.50,27.1,19.0,13.2,9.50,0.391
2022-11-28,0.40,25.3,19.6,8.4,0.40,0.389
2022-11-29,0.20,28.2,17.9,12.7,0.20,0.386
2022-11-30,9.40,27.8,19.0,7.4,9.40,0.383
2022-12-01,0.30,26.8,19.3,11.0,0.30,0.378
2022-12-02,8.20,25.9,18.9,9.7,8.20,0.383
2022-12-03,0.60,26.5,18.5,8.0,0.60,0.382
2022-12-04,22.00,28.0,19.2,10.8,22.00,0.382
2022-12-05,21.60,27.0,18.6,10.3,21.60,0.391
2022-12-06,27.50,27.0,19.6,8.2,27.50,0.398
2022-12-07,43.70,27.5,20.1,10.4,43.70,0.406
2022-12-08,4.60,26.6,20.2,8.4,4.60,0.409
2022-12-09,1.70,26.6,18.8,15.1,1.70,0.405
2022-12-10,0.40,27.1,19.5,8.7,0.40,0.402
2022-12-11,2.10,27.8,18.1,10.8,2.10,0.397
2022-12-12,0.10,27.2,18.2,9.7,0.10,0.394
2022-12-13,7.70,26.8,18.4,9.3,7.70,0.393
2022-12-14,16.30,27.5,19.0,9.7,16.30,0.397
2022-12-15,9.40,28.0,18.4,10.5,9.40,0.398
2022-12-16,1.50,27.2,20.5,11.2,1.50,0.400
2022-12-17,0.50,28.5,19.0,14.4,0.50,0.398
2022-12-18,13.00,27.5,19.6,11.3,13.00,0.396
2022-12-19,0.50,28.1,19.1,11.5,0.50,0.394
2022-12-20,1.20,27.0,17.8,11.9,1.20,0.390
2022-12-21,4.30,27.5,18.3,18.7,4.30,0.385
2022-12-22,7.80,27.5,19.4,20.9,7.80,0.381
2022-12-23,3.20,24.5,19.6,21.0,3.20,0.382
2022-12-24,1.70,25.1,19.0,13.9,1.70,0.380
2022-12-25,1.40,25.2,20.2,15.8,1.40,0.379
2022-12-26,3.30,24.0,20.1,18.3,3.30,0.378
2022-12-27,22.90,24.4,19.2,14.5,22.90,0.391
2022-12-28,4.90,25.6,19.9,19.0,4.90,0.395
2022-12-29,19.70,24.2,20.3,18.4,19.70,0.402
2022-12-30,8.70,24.2,19.8,18.3,8.70,0.406
2022-12-31,2.70,24.4,20.4,22.3,2.70,0.402
2023-01-01,5.40,24.2,19.6,16.1,5.40,0.404
2023-01-02,1.40,26.2,19.5,19.1,1.40,0.402
2023-01-03,8.20,25.0,20.0,18.4,8.20,0.400
2023-01-04,5.50,25.1,19.8,14.0,5.50,0.401
2023-01-05,2.20,26.0,19.6,17.0,2.20,0.403
2023-01-06,0.10,28.3,20.2,22.1,0.10,0.394
2023-01-07,1.70,27.5,19.5,19.2,1.70,0.385
2023-01-08,1.40,27.5,19.1,15.3,1.40,0.379
2023-01-09,1.00,27.1,19.1,14.2,1.00,0.374
2023-01-10,1.00,27.6,19.2,10.1,1.00,0.369
2023-01-11,0.80,29.1,18.2,12.2,0.80,0.357
2023-01-12,1.50,27.4,17.4,12.3,1.50,0.354
2023-01-13,0.80,27.9,17.8,11.7,0.80,0.348
2023-01-14,0.50,28.3,17.4,11.8,0.50,0.344
2023-01-15,0.80,28.3,18.4,12.4,0.80,0.340
2023-01-16,2.10,28.1,19.6,16.0,2.10,0.338
2023-01-17,1.40,25.3,19.1,12.2,1.40,0.337
2023-01-18,7.90,25.0,18.9,8.4,7.90,0.337
2023-01-19,8.30,26.9,19.2,9.0,8.30,0.337
2023-01-20,11.10,26.0,18.0,13.3,11.10,0.335
2023-01-21,1.50,26.8,19.0,15.4,1.50,0.347
2023-01-22,10.90,28.0,18.8,14.0,10.90,0.352
2023-01-23,3.50,25.8,19.8,11.5,3.50,0.349
2023-01-24,0.70,26.5,18.5,15.5,0.70,0.345
2023-01-25,26.80,23.0,20.5,16.7,26.80,0.354
2023-01-26,3.70,25.0,19.6,13.3,3.70,0.355
2023-01-27,6.70,25.2,19.1,14.8,6.70,0.355
2023-01-28,9.00,23.9,19.4,15.6,9.00,0.365
2023-01-29,3.60,25.7,20.0,17.8,3.60,0.368
2023-01-30,1.20,25.0,20.6,14.4,1.20,0.367
2023-01-31,0.20,26.9,18.6,18.3,0.20,0.363
2023-02-01,6.40,24.6,20.3,12.9,6.40,0.361
2023-02-02,6.50,25.3,20.0,15.4,6.50,0.360
2023-02-03,1.80,25.5,19.6,14.0,1.80,0.357
2023-02-04,1.40,25.2,17.6,16.6,1.40,0.358
2023-02-05,0.60,27.3,17.9,23.2,0.60,0.355
2023-02-06,0.20,26.5,21.3,18.9,0.20,0.352
2023-02-07,9.50,26.4,19.5,14.9,9.50,0.352
2023-02-08,6.00,27.0,19.9,14.9,6.00,0.352
2023-02-09,12.80,25.8,18.9,18.3,12.80,0.358
2023-02-10,16.40,26.3,20.1,18.4,16.40,0.364
2023-02-11,5.40,24.8,19.6,16.9,5.40,0.365
2023-02-12,31.40,24.5,20.1,16.7,31.40,0.373
2023-02-13,5.80,27.3,19.9,22.7,5.80,0.380
2023-02-14,0.90,25.7,20.1,20.5,0.90,0.381
2023-02-15,0.90,25.8,20.5,19.4,0.90,0.375
2023-02-16,2.70,25.9,20.5,17.4,2.70,0.371
2023-02-17,5.50,24.7,20.0,10.0,5.50,0.375
2023-02-18,2.00,25.4,19.1,12.2,2.00,0.377
2023-02-19,0.80,25.5,18.7,16.3,0.80,0.374
2023-02-20,2.80,25.8,19.6,17.1,2.80,0.368
2023-02-21,2.80,25.9,19.8,15.0,2.80,0.358
2023-02-22,3.00,24.5,19.6,16.5,3.00,0.358
2023-02-23,3.70,25.0,19.6,15.2,3.70,0.358
2023-02-24,31.60,25.0,19.1,15.3,31.60,0.367
2023-02-25,5.70,25.0,19.5,19.0,5.70,0.363
2023-02-26,2.30,24.8,19.5,15.6,2.30,0.364
2023-02-27,6.20,22.9,20.4,20.7,6.20,0.367
2023-02-28,13.90,23.4,19.3,16.5,13.90,0.371
2023-03-01,1.70,25.1,20.2,19.7,1.70,0.372
2023-03-02,15.80,22.5,20.2,16.0,15.80,0.378
2023-03-03,0.80,27.1,19.4,19.8,0.80,0.386
2023-03-04,3.50,25.2,19.8,16.3,3.50,0.380
2023-03-05,0.70,26.1,18.1,17.9,0.70,0.376
2023-03-06,0.60,27.3,17.8,15.6,0.60,0.372
2023-03-07,1.40,27.6,19.0,13.3,1.40,0.363
2023-03-08,3.80,27.2,19.5,11.8,3.80,0.358
2023-03-09,36.50,25.8,19.0,10.0,36.50,0.371
2023-03-10,13.40,26.0,18.0,8.4,13.40,0.386
2023-03-11,1.20,27.8,18.4,11.4,1.20,0.388
2023-03-12,0.10,29.2,16.6,13.1,0.10,0.383
2023-03-13,0.00,29.3,16.5,10.7,0.00,0.377
2023-03-14,1.90,27.4,17.0,14.9,1.90,0.371
2023-03-15,4.30,27.2,19.2,8.9,4.30,0.368
2023-03-16,2.40,28.1,18.2,7.4,2.40,0.372
2023-03-17,13.00,26.5,17.5,10.1,13.00,0.373
2023-03-18,1.80,28.5,18.0,9.0,1.80,0.377
2023-03-19,12.80,28.2,18.0,9.4,12.80,0.376
2023-03-20,8.80,27.5,18.0,13.4,8.80,0.378
2023-03-21,2.40,29.0,19.0,11.0,2.40,0.385
2023-03-22,8.70,27.9,18.8,8.8,8.70,0.384
2023-03-23,13.50,28.8,19.6,11.5,13.50,0.390
2023-03-24,1.60,28.5,18.2,10.8,1.60,0.393
2023-03-25,4.10,26.6,19.2,10.6,4.10,0.392
2023-03-26,6.60,27.7,19.8,11.1,6.60,0.397
2023-03-27,4.30,26.0,20.6,9.8,4.30,0.399
2023-03-28,0.90,27.8,18.9,12.3,0.90,0.395
2023-03-29,17.10,26.0,19.0,14.8,17.10,0.392
2023-03-30,12.90,26.9,20.4,13.0,12.90,0.398
2023-03-31,0.40,26.9,19.6,15.8,0.40,0.397
2023-04-01,0.30,25.8,20.2,14.1,0.30,0.395
2023-04-02,2.00,27.2,17.9,12.3,2.00,0.391
2023-04-03,1.50,27.4,19.0,16.6,1.50,0.385
2023-04-04,0.00,27.1,17.1,14.2,0.00,0.374
2023-04-05,0.00,28.0,16.3,13.8,0.00,0.370
2023-04-06,0.00,27.5,16.5,14.6,0.00,0.368
2023-04-07,0.00,27.5,17.0,11.3,0.00,0.365
2023-04-08,0.00,28.1,16.4,14.5,0.00,0.358
2023-04-09,0.90,27.8,17.0,14.8,0.90,0.354
2023-04-10,2.00,26.2,20.1,15.8,2.00,0.354
2023-04-11,1.40,28.1,19.7,14.6,1.40,0.353
2023-04-12,6.30,26.6,17.6,11.9,6.30,0.347
2023-04-13,1.40,27.2,19.2,10.2,1.40,0.341
2023-04-14,3.20,26.4,19.1,10.0,3.20,0.340
2023-04-15,3.00,27.6,17.8,13.2,3.00,0.338
2023-04-16,0.70,27.1,18.9,9.4,0.70,0.341
2023-04-17,1.40,29.1,20.1,10.3,1.40,0.334
2023-04-18,2.60,27.8,21.0,7.9,2.60,0.329
2023-04-19,10.10,28.9,19.7,9.4,10.10,0.334
2023-04-20,0.90,27.5,19.3,9.8,0.90,0.329
2023-04-21,8.20,28.6,18.2,7.9,8.20,0.328
2023-04-22,7.80,27.5,18.5,9.9,7.80,0.335
2023-04-23,4.00,28.5,18.4,10.2,4.00,0.331
2023-04-24,11.20,28.8,18.1,10.5,11.20,0.334
2023-04-25,9.50,28.0,18.5,11.0,9.50,0.342
2023-04-26,0.80,27.2,17.8,13.6,0.80,0.345
